"Index","Company","TypeName","Inches","resolution_width","resolution_height","touchscreen","cpu_brand","cpu_name","cpu_speed","Ram","memory_type","primary_storage","secondary_storage","gpu_brand","gpu_name","OpSys","Weight","Price"
13,"Apple","Ultrabook",15.4,1800,2880,0,"Intel","Core i7",2.8,16,"SSD",256,0,"AMD"," Radeon Pro 555","MacOS",2.0,130002
14,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.0,4,"SSD",256,0,"AMD"," Radeon R5 M430","Windows",2.0,26581
15,"Apple","Ultrabook",12.0,1440,2304,0,"Intel","Core M",1.2,8,"SSD",256,0,"Intel"," HD Graphics 615","MacOS",1.0,67261
16,"Apple","Ultrabook",13.3,1600,2560,0,"Intel","Core i5",2.3,8,"SSD",256,0,"Intel"," Iris Plus Graphics 640","MacOS",1.0,80908
17,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i7",2.7,8,"SSD",256,0,"AMD"," Radeon R5 M430","Windows",2.0,39694
18,"Apple","Ultrabook",15.4,1800,2880,0,"Intel","Core i7",2.9,16,"SSD",512,0,"AMD"," Radeon Pro 560","MacOS",2.0,152274
19,"Lenovo","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.4,8,"HDD",1,0,"Nvidia"," GeForce 940MX","N/A",2.0,26587
20,"Dell","Ultrabook",13.3,1080,1920,1,"Intel","Core i5",1.6,8,"SSD",128,0,"Intel"," UHD Graphics 620","Windows",1.0,52161
22,"Lenovo","Gaming",15.6,1080,1920,0,"Intel","Core i5",2.5,8,"Hybrid",128,1,"Nvidia"," GeForce GTX 1050","Windows",3.0,53227
23,"HP","Notebook",15.6,768,1366,0,"AMD","E-Series E2-9000e",1.5,4,"HDD",500,0,"AMD"," Radeon R2","N/A",2.0,13746
24,"Dell","2 in 1 Convertible",13.3,1080,1920,1,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",2.0,43636
25,"HP","Ultrabook",15.6,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",256,0,"Intel"," HD Graphics 620","Windows",2.0,35112
26,"Dell","Notebook",15.6,768,1366,0,"Intel","Core i3",2.0,4,"HDD",1,0,"Intel"," HD Graphics 520","Windows",2.0,22305
27,"Apple","Ultrabook",13.3,900,1440,0,"Intel","Core i5",1.6,8,"Flash Storage",128,0,"Intel"," HD Graphics 6000","MacOS",1.0,58555
28,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"AMD"," Radeon 530","Windows",2.0,42624
29,"Dell","Ultrabook",15.6,1080,1920,0,"Intel","Core i7",1.9,8,"SSD",256,256,"Intel"," UHD Graphics 620","Windows",2.0,69157
30,"HP","Notebook",17.3,1080,1920,0,"Intel","Core i5",1.6,8,"HDD",1,0,"Nvidia"," GeForce 930MX","Windows",3.0,47739
31,"Chuwi","Notebook",15.6,1080,1920,0,"Intel","Atom x5-Z8300",1.4,4,"Flash Storage",64,0,"Intel"," HD Graphics","Windows",2.0,13053
32,"Asus","Notebook",14.0,768,1366,0,"AMD","E-Series E2-6110",1.5,2,"Flash Storage",32,0,"AMD"," Radeon R2","Windows",2.0,10603
33,"HP","Notebook",17.3,1080,1920,0,"AMD","A6-Series 9220",2.5,4,"HDD",500,0,"AMD"," Radeon 530","Windows",3.0,23390
34,"Dell","Ultrabook",13.3,1800,3200,1,"Intel","Core i7",1.8,16,"SSD",512,0,"Intel"," UHD Graphics 620","Windows",1.0,99580
35,"Apple","Ultrabook",13.3,900,1440,0,"Intel","Core i5",1.6,8,"Flash Storage",256,0,"Intel"," HD Graphics 6000","MacOS",1.0,53173
36,"Lenovo","Notebook",14.0,768,1366,0,"Intel","Celeron Dual",1.1,4,"Flash Storage",64,0,"Intel"," HD Graphics 500","Windows",1.0,13267
37,"Acer","Notebook",15.6,768,1366,0,"Intel","Core i3",2.7,4,"HDD",1,0,"Intel"," HD Graphics 620","Linux",2.0,19554
38,"Dell","Notebook",17.3,1080,1920,0,"Intel","Core i5",1.6,8,"Hybrid",128,1,"AMD"," Radeon 530","Windows",3.0,52161
39,"HP","Notebook",15.6,768,1366,0,"Intel","Core i5",2.5,4,"HDD",1,0,"Intel"," HD Graphics 620","Windows",2.0,26037
40,"HP","Notebook",15.6,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Nvidia"," GeForce 930MX ","Windows",2.0,46833
41,"Asus","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.0,4,"HDD",1,0,"Intel"," HD Graphics 620","Linux",2.0,20726
42,"Dell","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,16,"Hybrid",256,1,"Nvidia"," GeForce GTX 1060","Windows",3.0,79867
43,"Asus","Notebook",15.6,768,1366,0,"Intel","Core i5",2.5,8,"HDD",1,0,"Nvidia"," GeForce 940MX","Linux",2.0,27865
44,"Acer","Notebook",15.6,1080,1920,0,"Intel","Core i5",1.6,4,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",2.0,36337
45,"Dell","2 in 1 Convertible",17.3,1080,1920,1,"Intel","Core i5",1.6,12,"HDD",1,0,"Nvidia"," GeForce 150MX","Windows",3.0,53227
46,"Apple","Ultrabook",13.3,1600,2560,0,"Intel","Core i5",2.0,8,"SSD",256,0,"Intel"," Iris Graphics 540","MacOS",1.0,75604
48,"Asus","Gaming",17.3,1080,1920,0,"AMD","Ryzen 1700",3.0,8,"Hybrid",256,1,"AMD"," Radeon RX 580","Windows",3.0,69211
49,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i5",2.5,4,"SSD",256,0,"AMD"," Radeon R5 M430","Windows",2.0,34046
50,"Asus","Notebook",17.3,768,1366,0,"Intel","Pentium Quad",1.1,4,"HDD",1,0,"Nvidia"," GeForce 920MX","Windows",3.0,24828
52,"Acer","Notebook",15.6,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",256,0,"Nvidia"," GeForce MX150","Windows",2.0,44808
53,"HP","Notebook",15.6,1080,1920,0,"AMD","A6-Series 9220",2.5,4,"SSD",256,0,"AMD"," Radeon R4 Graphics","Windows",2.0,21232
54,"HP","Notebook",13.3,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",512,0,"Intel"," UHD Graphics 620","Windows",1.0,58768
55,"Acer","Notebook",15.6,768,1366,0,"Intel","Core i3",2.4,4,"HDD",1,0,"Intel"," HD Graphics 620","Windows",2.0,20460
56,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",256,0,"AMD"," Radeon 520","Windows",2.0,40908
57,"HP","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.0,4,"SSD",128,0,"Intel"," HD Graphics 520","Windows",2.0,23390
58,"Asus","Notebook",15.6,768,1366,0,"Intel","Core i5",2.5,4,"SSD",256,0,"Intel"," HD Graphics 620","Windows",2.0,31232
59,"MSI","Gaming",17.3,1080,1920,0,"Intel","Core i7",2.8,16,"Hybrid",256,2,"Nvidia"," GeForce GTX 1070","Windows",2.0,130483
60,"Asus","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.0,4,"SSD",256,0,"Intel"," HD Graphics 520","Linux",2.0,22111
61,"Dell","Notebook",17.3,1080,1920,0,"Intel","Core i7",1.8,16,"Hybrid",256,2,"AMD"," Radeon 530","Windows",3.0,69211
62,"Dell","Ultrabook",14.0,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",2.0,46833
63,"Lenovo","Notebook",14.0,1080,1920,0,"Intel","Core i3",2.7,8,"SSD",256,0,"Intel"," HD Graphics 620","N/A",2.0,31915
64,"Asus","Notebook",14.0,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",1.0,50136
65,"HP","Notebook",15.6,1080,1920,0,"Intel","Core i5",2.5,8,"SSD",256,0,"Intel"," HD Graphics 620","Windows",2.0,36763
66,"Asus","Ultrabook",15.6,1080,1920,0,"Intel","Core i7",2.8,16,"SSD",512,0,"Nvidia"," GeForce GTX 1050 Ti","Windows",2.0,105654
67,"HP","Notebook",15.6,768,1366,0,"Intel","Core i3",2.0,4,"HDD",500,0,"AMD"," Radeon 520","Windows",2.0,23373
68,"HP","Notebook",14.0,768,1366,0,"Intel","Celeron Dual",1.6,4,"SSD",32,0,"Intel"," HD Graphics 400","Windows",1.0,12201
69,"Lenovo","Notebook",15.6,1080,1920,0,"Intel","Core i5",2.5,4,"HDD",1,0,"Intel"," HD Graphics 620","Windows",2.0,29251
70,"Asus","Gaming",17.3,1080,1920,0,"Intel","Core i7",2.8,12,"HDD",1,0,"Nvidia"," GeForce GTX 1050 Ti","Linux",3.0,50563
71,"Microsoft","Ultrabook",13.5,1504,2256,1,"Intel","Core i5",2.5,4,"SSD",128,0,"Intel"," HD Graphics 620","Windows",1.0,58022
72,"Dell","Ultrabook",13.3,1080,1920,0,"Intel","Core i7",1.8,64,"SSD",256,0,"AMD"," Radeon 530","Windows",1.0,50882
73,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",256,0,"AMD"," Radeon 530","Windows",2.0,46354
74,"MSI","Gaming",17.3,1080,1920,0,"Intel","Core i5",2.5,8,"Hybrid",128,1,"Nvidia"," GeForce GTX 1050","Windows",3.0,58342
75,"Acer","Notebook",14.0,768,1366,0,"Intel","Core i3",2.0,8,"HDD",1,0,"Intel"," HD Graphics 520","Windows",2.0,20726
76,"Asus","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,8,"HDD",1,0,"Nvidia"," GeForce GTX 1050","Windows",2.0,50563
77,"Lenovo","Notebook",15.6,1080,1920,0,"Intel","Core i5",2.5,8,"HDD",2,0,"Intel"," HD Graphics 620","N/A",2.0,27652
78,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i7",1.8,8,"Hybrid",128,1,"Intel"," UHD Graphics 620","Windows",2.0,45554
79,"Acer","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.7,4,"HDD",1,0,"Nvidia"," GeForce MX130","Windows",2.0,28238
80,"HP","Notebook",17.3,1080,1920,0,"Intel","Core i5",1.6,8,"Hybrid",128,1,"Nvidia"," GeForce 930MX","Windows",3.0,52055
81,"Dell","Ultrabook",15.6,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",2.0,58403
82,"Apple","Ultrabook",12.0,1440,2304,0,"Intel","Core i5",1.3,8,"SSD",512,0,"Intel"," HD Graphics 615","MacOS",1.0,80453
83,"HP","Notebook",14.0,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," HD Graphics 620","Windows",2.0,45821
84,"Lenovo","Notebook",15.6,1080,1920,0,"AMD","A6-Series 9220",2.5,4,"SSD",128,0,"AMD"," R4 Graphics","Windows",2.0,21259
85,"Acer","Notebook",15.6,768,1366,0,"AMD","A9-Series 9420",3.0,4,"HDD",1,0,"AMD"," Radeon R5","Windows",2.0,21046
86,"Dell","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,16,"Hybrid",128,1,"Nvidia"," GeForce GTX 1050 Ti","Windows",3.0,71875
87,"HP","Ultrabook",15.6,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",256,0,"Nvidia"," GeForce GTX 940MX","Windows",2.0,37243
88,"HP","Notebook",15.6,1080,1920,0,"Intel","Core i5",2.5,8,"SSD",256,0,"Intel"," HD Graphics 620","Windows",2.0,31914
89,"Asus","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,16,"Hybrid",128,1,"Nvidia"," GeForce GTX 1060","Windows",2.0,77203
90,"Dell","Ultrabook",13.3,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",1.0,87859
91,"Asus","Gaming",15.6,1080,1920,0,"AMD","FX 9830P",3.0,8,"HDD",1,0,"AMD"," Radeon RX 560","Windows",2.0,37243
92,"Acer","Notebook",15.6,1080,1920,0,"Intel","Core i7",1.8,2,"HDD",1,0,"Nvidia"," GeForce MX150","Windows",2.0,36710
93,"HP","Notebook",13.3,1080,1920,0,"Intel","Core i7",1.8,16,"SSD",512,0,"Intel"," UHD Graphics 620","Windows",1.0,63776
94,"Dell","Gaming",15.6,1080,1920,0,"Intel","Core i5",2.5,8,"SSD",256,0,"Nvidia"," GeForce GTX 1060","Windows",3.0,63670
95,"Asus","Ultrabook",14.0,1080,1920,0,"Intel","Core i7",2.7,8,"SSD",256,0,"Intel"," HD Graphics 620","Windows",1.0,55891
96,"Acer","2 in 1 Convertible",13.3,1080,1920,1,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",2.0,45128
97,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i7",2.7,8,"HDD",1,0,"AMD"," Radeon R5 M430","Linux",2.0,31963
98,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.0,4,"SSD",256,0,"AMD"," Radeon R5 M430","Linux",2.0,25841
99,"Asus","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.4,6,"SSD",256,0,"Nvidia"," GeForce 920M","Windows",2.0,30743
100,"HP","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,12,"Hybrid",128,1,"Nvidia"," GeForce GTX 1050","Windows",3.0,66547
101,"HP","Notebook",15.6,1080,1920,0,"Intel","Core i7",2.7,8,"SSD",256,0,"AMD"," Radeon 530","Windows",2.0,38308
102,"HP","Notebook",15.6,1080,1920,0,"AMD","E-Series E2-9000e",1.5,4,"HDD",500,0,"AMD"," Radeon R2","Windows",2.0,18595
103,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i5",1.6,8,"HDD",1,0,"AMD"," Radeon 520","Linux",2.0,34472
104,"HP","Ultrabook",13.3,1080,1920,0,"Intel","Core i7",2.7,8,"SSD",256,0,"Nvidia"," GeForce MX150","Windows",1.0,59620
105,"Microsoft","Ultrabook",13.5,1504,2256,1,"Intel","Core i5",2.5,8,"SSD",256,0,"Intel"," HD Graphics 620","Windows",1.0,71395
106,"HP","Notebook",14.0,1080,1920,0,"Intel","Core i5",2.5,6,"SSD",256,0,"Nvidia"," GeForce 940MX","Windows",2.0,35112
107,"Lenovo","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.0,4,"HDD",1,0,"Intel"," HD Graphics 520","Windows",2.0,22106
108,"Asus","Ultrabook",14.0,1080,1920,0,"Intel","Core i7",2.7,8,"SSD",256,0,"Nvidia"," GeForce 940MX","Windows",1.0,63563
109,"MSI","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,16,"Hybrid",256,1,"Nvidia"," GeForce GTX 1050 Ti","Windows",2.0,69211
110,"Lenovo","Notebook",14.0,1080,1920,0,"Intel","Core i7",2.7,8,"SSD",256,0,"Intel"," HD Graphics 620","Windows",2.0,78854
111,"Asus","Ultrabook",15.6,1080,1920,0,"Intel","Core i7",1.8,16,"Hybrid",256,1,"Nvidia"," GeForce MX150","Windows",2.0,67239
112,"Dell","Ultrabook",13.3,1800,3200,1,"Intel","Core i7",2.4,8,"SSD",256,0,"Intel"," Iris Plus Graphics 640","Windows",1.0,73473
113,"Lenovo","2 in 1 Convertible",13.3,1080,1920,1,"Intel","Core i5",2.5,8,"SSD",256,0,"Intel"," HD Graphics 620","Windows",1.0,74539
114,"HP","Notebook",14.0,768,1366,0,"Intel","Core i5",1.6,4,"HDD",500,0,"Intel"," UHD Graphics 620","Windows",2.0,38468
115,"Dell","Ultrabook",13.3,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",1.0,86793
117,"HP","Notebook",14.0,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",512,0,"Intel"," UHD Graphics 620","Windows",2.0,57756
118,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i7",1.8,8,"Hybrid",256,1,"Nvidia"," GeForce 940MX","Windows",2.0,60224
119,"Asus","Notebook",17.3,1080,1920,0,"Intel","Core i3",2.0,4,"HDD",1,0,"Nvidia"," GeForce 920MX","Windows",2.0,30050
120,"Asus","Notebook",15.6,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",256,0,"Nvidia"," GeForce 940MX","Windows",2.0,59567
121,"Acer","Notebook",15.6,1080,1920,1,"Intel","Core i3",2.4,6,"HDD",1,0,"Intel"," HD Graphics 620","Windows",2.0,25521
122,"MSI","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,16,"Hybrid",256,2,"Nvidia"," GeForce GTX 1070","Windows",2.0,119427
123,"Lenovo","Notebook",15.6,1080,1920,0,"Intel","Core i5",2.5,8,"SSD",256,0,"Nvidia"," GeForce 940MX","N/A",2.0,33513
124,"HP","Notebook",17.3,1080,1920,0,"Intel","Core i7",1.8,16,"SSD",512,0,"Nvidia"," GeForce 930MX ","Windows",3.0,67719
125,"Acer","Notebook",15.6,768,1366,0,"AMD","A9-Series 9420",3.0,4,"SSD",256,0,"AMD"," Radeon R5","Windows",2.0,24029
127,"HP","Notebook",14.0,1080,1920,0,"Intel","Core i5",1.6,8,"HDD",1,0,"Intel"," UHD Graphics 620","Windows",2.0,43263
128,"Asus","Notebook",14.0,768,1366,0,"AMD","E-Series 6110",1.5,4,"SSD",64,0,"AMD"," Radeon R2","Windows",2.0,14811
129,"Dell","Notebook",17.3,1080,1920,0,"Intel","Core i7",1.8,16,"Hybrid",256,2,"AMD"," Radeon 530","Windows",3.0,74379
130,"HP","Notebook",17.3,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",3.0,49444
131,"Dell","Notebook",15.6,768,1366,0,"Intel","Core i5",2.5,8,"HDD",1,0,"AMD"," Radeon R7 M445","Windows",2.0,34045
132,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.0,4,"HDD",1,0,"AMD"," Radeon R5 M430","Windows",2.0,23923
133,"Acer","Ultrabook",14.0,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",2.0,47100
134,"Acer","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.7,4,"SSD",256,0,"Nvidia"," GeForce MX130","Windows",7.0,30476
135,"HP","Notebook",15.6,768,1366,0,"Intel","Core i7",2.7,8,"HDD",1,0,"Intel"," HD Graphics 620","Windows",2.0,31861
136,"HP","Notebook",14.0,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",2.0,52641
137,"Lenovo","Notebook",15.6,768,1366,0,"Intel","Celeron Dual",1.1,4,"HDD",1,0,"Intel"," HD Graphics 500","N/A",2.0,13446
138,"Asus","Gaming",17.3,1080,1920,0,"Intel","Core i5",2.5,8,"Hybrid",128,1,"Nvidia"," GeForce GTX 1050","Windows",3.0,49977
139,"Lenovo","Notebook",15.6,1080,1920,0,"Intel","Core i5",2.5,4,"HDD",1,0,"Nvidia"," GeForce 920MX","N/A",2.0,26587
140,"HP","Notebook",13.3,1080,1920,0,"Intel","Core i5",2.5,4,"SSD",256,0,"Intel"," HD Graphics 620","Windows",1.0,37243
141,"Acer","Notebook",17.3,1080,1920,0,"Intel","Core i3",2.7,4,"HDD",1,0,"Nvidia"," GeForce MX130","Windows",3.0,34898
142,"Lenovo","Notebook",14.0,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"AMD"," Radeon RX 550","Windows",2.0,59462
143,"Lenovo","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,8,"SSD",256,0,"Nvidia"," GeForce GTX 1050M","N/A",2.0,46300
144,"Toshiba","Notebook",15.6,768,1366,0,"Intel","Core i5",2.3,4,"HDD",500,0,"Intel"," HD Graphics 520","Windows",2.0,32075
145,"HP","Notebook",15.6,768,1366,0,"AMD","A6-Series 9220",2.5,4,"SSD",256,0,"AMD"," Radeon R4 Graphics","Windows",2.0,19660
146,"Asus","Ultrabook",14.0,1080,1920,0,"Intel","Core i7",1.8,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",1.0,58555
147,"HP","Ultrabook",12.5,2160,3840,1,"Intel","Core M",1.2,8,"SSD",512,0,"Intel"," HD Graphics 515","Windows",1.0,107306
148,"Asus","Notebook",15.6,1080,1920,0,"Intel","Celeron Dual",1.1,4,"HDD",1,0,"Intel"," HD Graphics 500","Windows",2.0,18328
150,"Acer","Notebook",15.6,768,1366,0,"Intel","Core i3",2.0,4,"HDD",1,0,"Intel"," HD Graphics 520","Windows",2.0,23816
151,"Dell","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,16,"SSD",512,0,"Nvidia"," GeForce GTX 1050","Windows",3.0,66561
152,"Dell","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,8,"Hybrid",1,0,"Nvidia"," GeForce GTX 1050","Windows",3.0,47899
153,"Lenovo","Notebook",15.6,768,1366,0,"Intel","Core i5",2.5,4,"SSD",128,0,"Intel"," HD Graphics 620","Windows",2.0,26533
154,"MSI","Gaming",17.3,1080,1920,0,"Intel","Core i7",2.8,16,"Hybrid",256,1,"Nvidia"," GeForce GTX 1060","Windows",3.0,100699
155,"HP","Ultrabook",14.0,1080,1920,0,"Intel","Core i5",2.7,4,"SSD",256,0,"Intel"," HD Graphics 620","Windows",1.0,57649
156,"HP","Notebook",15.6,1080,1920,0,"Intel","Core i5",1.6,6,"SSD",256,0,"AMD"," Radeon 520","Windows",2.0,32980
157,"Lenovo","2 in 1 Convertible",14.0,1080,1920,1,"Intel","Core i3",2.4,4,"SSD",256,0,"Intel"," HD Graphics 620","Windows",2.0,33513
158,"Asus","2 in 1 Convertible",13.3,1080,1920,1,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," HD Graphics 620","Windows",1.0,70063
159,"Dell","2 in 1 Convertible",15.6,1080,1920,1,"Intel","Core i7",1.8,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",2.0,55891
160,"Toshiba","Notebook",15.6,768,1366,0,"Intel","Core i3",2.2,4,"HDD",500,0,"Intel"," HD Graphics 520","Windows",2.0,23816
161,"Asus","Notebook",15.6,768,1366,0,"AMD","A9-Series 9420",3.0,4,"HDD",1,0,"AMD"," Radeon R5 M420","Windows",2.0,21472
162,"Acer","Notebook",17.3,1080,1920,0,"Intel","Core i5",1.6,4,"SSD",256,0,"Nvidia"," GeForce MX150","Windows",3.0,42890
163,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"AMD"," Radeon 520","Windows",2.0,38788
164,"Lenovo","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,16,"SSD",256,0,"Nvidia"," GeForce GTX 1050 Ti","Windows",3.0,57489
165,"Acer","Notebook",15.6,768,1366,0,"Intel","Celeron Dual",1.1,4,"HDD",1,0,"Intel"," HD Graphics 500","Windows",2.0,18541
166,"MSI","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,16,"Hybrid",256,1,"Nvidia"," GeForce GTX 1060","Windows",2.0,95851
167,"Acer","Notebook",15.6,768,1366,0,"Intel","Pentium Quad",1.1,4,"HDD",1,0,"Intel"," HD Graphics 505","Windows",2.0,19368
168,"Dell","Gaming",15.6,1080,1920,0,"Intel","Core i7",2.8,8,"Hybrid",128,1,"Nvidia"," GeForce GTX 1050","Windows",3.0,56503
169,"Acer","Notebook",17.3,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Nvidia"," GeForce MX150","Windows",3.0,45501
170,"HP","Notebook",13.3,1080,1920,0,"Intel","Core i5",1.6,4,"HDD",500,0,"Intel"," UHD Graphics 620","Windows",1.0,40173
171,"Huawei","Ultrabook",13.0,1440,2160,0,"Intel","Core i5",2.5,8,"SSD",256,0,"Intel"," HD Graphics 620","Windows",1.0,71875
172,"HP","Notebook",17.3,1080,1920,0,"Intel","Core i5",2.5,6,"HDD",2,0,"AMD"," Radeon 520","Windows",3.0,37243
173,"Lenovo","Notebook",15.6,768,1366,0,"AMD","A6-Series 9220",2.9,4,"HDD",500,0,"AMD"," Radeon R4 Graphics","N/A",2.0,16464
174,"Toshiba","Notebook",15.6,768,1366,0,"Intel","Core i3",2.4,4,"HDD",500,0,"Intel"," HD Graphics 620","Windows",5.0,26054
175,"HP","Notebook",17.3,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Nvidia"," GeForce 930MX","Windows",3.0,49177
176,"Dell","Notebook",15.6,768,1366,0,"Intel","Core i3",2.4,8,"HDD",1,0,"Intel"," HD Graphics 620","Windows",2.0,24456
177,"Acer","Notebook",15.6,768,1366,0,"Intel","Core i3",2.0,4,"SSD",128,0,"Intel"," HD Graphics 520","Windows",2.0,23923
178,"MSI","Gaming",18.4,1080,1920,0,"Intel","Core i7",2.9,32,"Hybrid",512,1,"Nvidia"," GTX 980 SLI","Windows",4.0,149131
179,"Lenovo","Notebook",15.6,1080,1920,0,"Intel","Core i5",2.5,8,"Hybrid",128,1,"AMD"," R17M-M1-70","Windows",2.0,43317
180,"HP","2 in 1 Convertible",13.3,2160,3840,1,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",1.0,79867
181,"Dell","Notebook",15.6,1080,1920,0,"Intel","Core i7",1.8,16,"Hybrid",256,2,"AMD"," Radeon 530","Linux",2.0,55891
182,"Dell","Ultrabook",13.3,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",1.0,74539
183,"Lenovo","2 in 1 Convertible",13.9,2160,3840,1,"Intel","Core i7",1.8,16,"SSD",512,0,"Intel"," UHD Graphics 620","Windows",1.0,98515
